Teks,label
"Anda Butuh Dana
Kami Solusinya
Syarat Mudah Cukup KTP&KK
KSP SEJAHTERA BERSAMA(SB)
Cair 5juta-900juta
 Bunga 4% Pertahun
Minat Chat WA: 082150336272",1
"buruan order
kmi mnawarkan
berbagai merek
HANDPHONE
dgn hrg Serba
Rp.550.000
discount 90% stock
terbatas info WA
+6285349703939
https://bit.ly/2St0mm1",1
Isi ulang Rp 10.000 ke 6281808032863 sukses pada 2019-03-31 18:19:38. Kode transaksi 19031679382459.,0
unsub,0
"Terimakasih,RBTmu sdh diperpanjang s.d 31/03/19 (Rp3300/7hr). Tambah RBT lain di *123*1818# stop:ktk unsub ke 1818 Info:817 ",0
"Cek *123*92*5# utk raih XTRA COMBO 10GB + GRATIS RBT: ""Dekat denganmu aku jadi keringetan, jauh dari kamu aku jadi keingetan"" CS:817",1
"Cek *123*92*4# utk raih XTRA COMBO 10GB+GRATIS RBT: ""Kamu udah manis jangan dingin gitu, nanti ketuker sama sop buah"" CS:817",1
"Cek *123*81*2# utk raih XTRA COMBO 10GB + GRATIS RBT: ""Diantara korban banjir, korban tanah longsor, cuma korban PHP yang gak bisa dievakuasi"" CS:817",1
"Cek *123*92*6# utk raih XTRA COMBO 10GB+GRATIS RBT:""2 alasan cewek luluh pas dirayu: gombalan mematikan atau isi dompet yang menggemaskan"" CS:817",1
Selamat! Ada KUOTA 5GB dari RBT 123. Cek aja di *123*148*1#,1
Kamu sdh STOP langganan RBT 1818. CEK *123*555*10*6# utk Raih BONUS PULSA 100RB + GRATIS lagu RBT BianGindas-123,0
Anda telah terdaftar untuk BNI Internet Banking. Gunakan kode: 4104389 dan PIN pendaftaran Anda selama aktivasi di website BNI IB. BNI Call 021-1500046. Terima ,0
"Batman, Superman dan Superheroes lainnya tersedia di HOOQ. Layanan HOOQ Anda berlaku hingga 12-05-2019. Silakan Login menggunakan Nomor handphone Anda. Nonton Film di HOOQ menggunakan kuota Internet. Info: support@hooq.tv / 188",1
"Selamat Paket Flash 12 GB, 2 GB MAXstream (30 hari) Rp 99000 telah aktif, berlaku s/d tgl 12/05/2019 pkl. 23:59 WIB. Cek status/berhenti berlangganan melalui *363# atau MyTelkomsel, download di tsel.me/mytsel1 Info detail tarif lihat di Tsel.me/internet",0
"Paket 12 GB, 2 GB MAXstream utk (30 hari) Anda telah berakhir. Selanjutnya akan dikenakan tarif non paket. Beli paket lainnya skrg, lbh murah via MyTelkomsel di tsel.me/mytsel",0
"Paket 12 GB, 2 GB MAXstream utk (30 hari) Anda akan berakhir pd 10/04/2019. Selanjutnya dikenakan tarif non paket. Beli paket lainnya, lbh murah via MyTelkomsel di tsel.me/mytsel",0
"Paket 12 GB, 2 GB MAXstream utk (30 hari) Anda akan berakhir pd 10/04/2019. Selanjutnya dikenakan tarif non paket. Beli paket lainnya, lbh murah via MyTelkomsel di tsel.me/mytsel",0
"Paket 12 GB, 2 GB MAXstream utk (30 hari) Anda akan berakhir pd 10/04/2019. Selanjutnya dikenakan tarif non paket. Beli paket lainnya, lbh murah via MyTelkomsel di tsel.me/mytsel",0
"Paket 12 GB, 2 GB MAXstream utk (30 hari) Anda akan berakhir pd 10/04/2019. Selanjutnya dikenakan tarif non paket. Beli paket lainnya, lbh murah via MyTelkomsel di tsel.me/mytsel",0
(XL) Pemakaian internet Anda hari ini dgn tarif Rp3/KB sudah lebih dari Rp2rb. Untuk internetan LEBIH CEPAT beli Pkt HotRod di *123#. Info 817.,0
(XL) Pemakaian internet Anda hari ini dgn tarif Rp3/KB sudah lebih dari Rp2rb. Untuk internetan LEBIH CEPAT beli Pkt HotRod di *123#. Info 817.,0
"Selamat, anda berhak mendapatkan kuota internet sebesar 5GB Rp. 10. Silakan balas SMS ini dengan ketik OK. Balasan berlaku hingga 6 jam kedepan.",1
"Selamat! Anda dpt 10 poin dr isi ulang pulsa 100000. Tukar 20Poin utk Tambahan s/d 10.000 GarudaMiles di Agoda, Bls IYA ke 777. Info: agoda.com/garudatsel",1
"Agar tetap kuat menjalani hidup, ikutin yuk hidup sehat ala anak kost! https://bit.ly/2JrS1M4 (trf data berlaku) Info: *123*66# CS:08777584182",1
"Anak kost mah gitu, 25ribu sebulan aja udah bahagia! https://bit.ly/2Hvr1JW (trf data berlaku) Info: *123*66# CS:08777584182",1
PopGames tlh diperpanjang pd 03-04-19 Trf: Rp4400. Stop: *500*80# CS: 0217989808 DILAN bagi hadiah HP Oppo F9 & Pulsa! Mau? hub *919*23#,0
"Poin +10
Game kamu:mocopl.us/lcf/90aDT

Redeem poinmu, cek di m.tookoo.co/crm/xl
Stop: Unreg GAME ke 99910/*500*8#
CS 08001099910 (gratis)",1
Yakin weekend gak mau kemana-mana? Staycation bareng Airy yuk! Langsung GERCEP dapetin DISKON Kamar hingga 70% skrg! Klik: bit.ly/2HQ1R98,1
[#] Authy registration code: 628326 bP+UGFWpwbd,0
Paket Berdua hanya 27rb nett : Ayam+Chicken Strips +2 Nasi. Tkr SMS ini di CFC MARGOCITY hingga 28 April. Stok terbatas. Promo*606#,1
Paket Berdua hanya 27rb nett : Ayam+Chicken Strips +2 Nasi. Tkr SMS ini di CFC SPBU BEJI hingga 28 April. Stok terbatas. Promo*606#,1
Paket Berdua hanya 27rb nett : Ayam+Chicken Strips +2 Nasi. Tkr SMS ini di CFC SPBU BEJI hingga 28 April. Stok terbatas. Promo*606#,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS Depok Town Square (Detos). Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Promo *606#,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS Depok Town Square (Detos). Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Promo *606#,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS Depok Town Square (Detos). Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Promo *606#,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS Depok Town Square (Detos). Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Promo *606#,1
"Hi KAUTSAR,aktifkan membership Electronic City di link https://goo.gl/d5oZrx dan nikmati beragam keuntungan",1
"Beli 1 GRATIS 1 Semua Jenis Minuman, Hanya Hari ini. Tukarkan segera sms ini di Excelso Central Park Mall. Promo *606#",1
"Beli 1 GRATIS 1 Semua Jenis Minuman, Hanya Hari ini. Tukarkan segera sms ini di Excelso Pesona Square Depok. Promo *606#",1
<#> DON'T SHARE THIS WITH ANYONE (NOT EVEN GOJEK). Your SECRET VERIFICATION CODE for account LOGIN: 8466 . Detail: go-jek.com/safety 4PKeZqV9ubl,0
Cuma hari ini km bsa akses *500*789*1# utk dapetin Tiket Liburan ke NEW YORK Gratis! + Uang Saku Rp20jt dari FLYAWAY. Hub *500*789*1# (Rp2rb/3x/mgu),1
Plgn Yth +1000 KOIN PULSA ChatDate mu Hari Ini Koq MASIH Belum Diambil? Hub *500*85*1# utk Ambil. Bisa Buat Tukar Pulsa Lho! Hub *500*85*1# Segera. Rp2200/3x/mg,1
"mau dpt pahala+hadiah? Tonton tausiyah USTADKU dr XL ada UANG TUNAI Rp10jt ,Samsung Galaxy S10 & Jutaan Pulsa! TANPA DIUNDI Hub *500*11*1# (Rp2rb/3x/mgu)",1
"Plgn Yth, +1000 KOIN PULSA mu Hari Ini Koq MASIH Belum Diambil Juga? Hub *500*85*1# utk Ambil. Bisa Buat Tukar Pulsa Lho! Hub *500*85*1# Sekarang. Rp2200/3x/mg",1
Tonton Kajian yuk plus dapetin Galaxy S10 & Uang tunai 10 jt tanpa diundi! Caranya dengerin tausiyah di XL USTADKU sekarang! Cek di *500*11*1# ( Rp2rb/3x/mgu),1
"Plgn Yth, +1000 KOIN PULSA mu Hari Ini Koq MASIH Belum Diambil Juga? Hub *500*85*1# utk Ambil. Bisa Buat Tukar Pulsa Lho! Hub *500*85*1# Sekarang. Rp2200/3x/mg",1
Ayo jemput rejeki mu di *500*789*1# ada uang tunai Rp.20jt! GRATIS Tour ke NEW YORK dr XL FLYAWAY ambil di *500*789*1# (Rp2rb/3x/mgu),1
"Plgn Yth, +1000 KOIN PULSA mu Hari Ini Koq MASIH Belum Diambil Juga? Hub *500*85*1# utk Ambil. Bisa Buat Tukar Pulsa Lho! Hub *500*85*1# Sekarang. Rp2200/3x/mg",1
"Hari ini km beruntung loh! Dapetin konten LIBURAN, kumpulin poinnya & raih PULSA s.d 50rb! Gabung di*500*789*106*2#, pilih 1!(Rp2200/3x/mg)",1
"Plgn Yth, +1000 KOIN PULSA mu Hari Ini Koq MASIH Belum Diambil Juga? Hub *500*85*1# utk Ambil. Bisa Buat Tukar Pulsa Lho! Hub *500*85*1# Sekarang. Rp2200/3x/mg",1
"Ntn seru Bhayangkara vs Arema, Quarter Final Piala President Sabtu ,30 Maret LIVE di Vidio https://bit.ly/2OnAO5g  dgn Jaringan Data Terkuat XL 4.5G",1
"Anda beruntung! PULSA 50rb utk Anda! Gabung REG GAME, segera hubungi *500*9910*1# dan pilih 1. PULSA bisa di menangkan berkali2 CS:087883822844 3sms/mgg@2200",1
"Kalibrr: from a recruiter
Halo Kautsar,

 

Selamat pagi!

 

Berdasarkan latar belakang dan kemampuan yang kamu miliki, k... Pls. login to Kalibrr to respond",1
"Hi, Kautsar Fadlillah! Kalibrr has invited you to apply for their position [Event Registration] XperTech - Fast Track Hiring for Your Next Tech Career.. Please log in to kalibrr to respond. Thank you for using Kalibrr!",1
Hanya 80Ribu utk 1 lusin BEBAS PILIH Donut dari harga normal 144Ribu di Krispy Kreme Margocity! Tukarkan SMS ini sekarang! *T&C applied. Promo *606#,1
"<#> Harap masukkan 578224 di LINE dalam 30 menit.
JFoQLtyexga",0
03/31/19 19:32:06 Pindah akun Mandiri e-cash 6281290749815 ke LinkAja telah berhasil. Info: lnkj.me/pindahsaldo,0
31/03/2019 07:19:53 Profil pelanggan LinkAja Anda telah diperbarui. Sekarang Anda adalah pelanggan LinkAja basic service.,0
"Pelanggan no. 6281290749815 telah berhasil di registrasi LinkAja basic service pada 31/03/2019 07:19:53, Segera aktifasi LinkAja Anda melalui *800*88*buatPIN#",0
GAWAT! Beli pulsa DISKON 15% Tinggal beberapa hari lagi! Hanya di LinkAja App. Buruan Download Aplikasi LinkAja SEKARANG JUGA di: lnkj.me/install,1
Sewa mobil seharian cuma Rp99ribu. LEBIH HEMAT mudik pakai MOVIC. Download dan masukkan kode vouchernya: MOVICMUDIK. S&K Berlaku.  bit.ly/MovicPromo,1
Dapatkan kuota 1.5GB/3hr dgn beli paket best deal 14GB hanya di MyTelkomsel. Aktifkan di tsel.me/bestdealspi1 . Promo s.d 10/4/19,1
Enter: 212740 App: docker.ppl.cs.ui.ac.id,0
"Kini ROLi hadir dengan tampilan dan isi yg lebih Keren! Rewardnya pun semakin banyak, klik di sini tsel.me/roli2",1
BELI 1 GRATIS 1 MINUMAN - HANYA HARI INI. GRANDE SIZE. Tukarkan SMS hari ini di Starbucks store terdekat. S&K berlaku. Promo *606#,1
BELI 1 GRATIS 1 MINUMAN - HANYA HARI INI. GRANDE SIZE. Tukarkan SMS hari ini di Starbucks store terdekat. S&K berlaku. Promo *606#,1
BELI 1 GRATIS 1 MINUMAN - HANYA HARI INI. GRANDE SIZE. Tukarkan SMS hari ini di Starbucks store terdekat. S&K berlaku. Promo *606#,1
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
Mau berbagi Pulsa ke Sesama Pengguna Telkomsel? Ketik *858*NomorTujuan*NominalTransfer# lalu tunggu SMS konfirmasinya,1
Terimakasih telah melakukan pengisian ulang dgn SN 51003287854961 senilai 100000.,0
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
"NSP Selow - Via Vallen, dengan ketik SLVQA kirim ke 1212. Aktifkan nsp lainnya spt Ziggy Zaga Gen Halilintar dsb,  dengan menghubungi *121#. SKB",1
"Yth Pelanggan Telkomsel, kami akan meningkatkan sistem layanan tgl 5 Apr'19 pkl02:00-05:00WIB, silakan aktivasi paket & pengisian pulsa sebelum waktu tsb. Tks",0
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
"NSP Selow - Via Vallen, dengan ketik SLVQA kirim ke 1212. Aktifkan nsp lainnya spt Ziggy Zaga Gen Halilintar dsb,  dengan menghubungi *121#. SKB",1
"Lagu Ziggy Zaga by Gen Halilintar top viewer youtube, aktifkan RBT nya di *121#, dan juga aktifkan RBT lainnya spt Via Vallen, Seventeen, Jaz, dsb. SKB",1
"Liburan butuh kuota besar?Aktifkan paket 12GB&2GB Vid,Cuma Rp 99Rb/30hari,di *363# pilih internet vaganza atau MyTelkomsel App tuk dptkan harga lebih murah.SKB",1
Ayo segera isi ulang pulsamu minimal Rp20.000 dan dapatkan kuota hingga 10GB hanya dengan Rp10! Info: tsel.me/inetrp10 .SKB,1
"Yth Pelanggan Telkomsel, kami akan meningkatkan sistem layanan tgl 28 Mar'19 pkl02:00-05:00WIB, silakan aktivasi paket & pengisian pulsa sebelum waktu tsb. Tks",1
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
"Mau FACEBOOKan tanpa kuota? Masuk melalui 0.facebook.com ,hanya dpt digunakan di jaringan Telkomsel.Aktifkan paket Internet Terbaik di *363#/outlet terdekat.SKB",1
PUAS internetan smua jaringan 24 jam! 12GB+2GB video.Hanya Rp 99rb. Aktifkan di*363# pilih internet vaganza  atau di MyTelkomsel utk dptkan harga diskon! SKB,1
"Liburan butuh kuota besar?Aktifkan paket 12GB&2GB Vid,Cuma Rp 99Rb/30hari,di *363# pilih internet vaganza atau MyTelkomsel App tuk dptkan harga lebih murah.SKB",1
Dapatkan Rp100rb saldo+10free game(total senilai Rp200rb)hanya dengan membayar Rp100rb. Berlaku di bulan Mar19. Tukarkan segera di Timezone hari ini. Promo*606#,1
"Tokopedia - 574784 adalah kode verifikasi untuk melakukan verifikasi. PENTING: Demi keamanan akun Anda, mohon tidak menyebarkan kode ini kepada siapa pun.",0
"Yuk ambil bonus Anda sekarang!
Cukup isi pulsa minimal Rp 50ribu, Anda mendapatkan bonus nelpon 60Menit ke nomer XL untuk 7hari. Info 817 XCU88D",1
"Raih bonus nelpon Anda sekarang!

Cukup isi pulsa hari ini min. Rp 50ribu, langsung nikmati BONUS 60Mnt ke nomer XL utk 7hari. Info 817 XCU88D",1
3 HARI lagi kartu XL Anda akan masuk MASA TENGGANG. Segera ISI ULANG PULSA di outlet/ATM terdekat. Abaikan pesan ini jika sudah isi pulsa. Info 817 XJ005A,1
SELAMAT! Anda terpilih dan berkesempatan memenangkan Samsung S9+ GRATIS dari XL! Cek *123*444*1*1# skrg. Info: xl.co.id/xtravaganza XPF02A,1
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan Samsung S9+ GRATIS dari XL! Cek *123*222*1# skrg. Info: xl.co.id/spextrakuler XPF01A,1
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan Samsung S9+ GRATIS dari XL! Cek *123*222*1# skrg. Info: xl.co.id/spextrakuler XPF01A,1
"Yuk ambil bonus Anda sekarang!
Cukup isi pulsa minimal Rp 50ribu, Anda mendapatkan bonus nelpon 60Menit ke nomer XL untuk 7hari. Info 817 XCU88D",1
"Raih bonus nelpon Anda sekarang!

Cukup isi pulsa hari ini min. Rp 50ribu, langsung nikmati BONUS 60Mnt ke nomer XL utk 7hari. Info 817 XCU88D",1
Penawaran spesial utk Anda tersedia di *123#. Yuk cek sekarang! Info: chat xl.co.id XFO10A,1
Isi ulang Rp10000 berhasil. Kode transaksi 19031677265109. Bonus 500MB dgn registrasi nomor XLmu! Cek *123*4444#,0
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan total HADIAH 800jt dari XL! Cek *123*444*1# skrg. Info: xl.co.id/xtravaganza XPF02A,1
BERANI JAMIN! Beli paket XL Xtra Combo di GRAB lebih hemat! Ada diskon s/d 11% + Cashback 10% maks Rp10rb! Klik: grb.to/XL-MAR MC207A,1
"Terima kasih sdh isi pulsa, nikmati BONUS Nelp ke Sesama XL 60Mnt berlaku 7 hari mulai hari ini. Cek Penawaran SPECIAL tiap hr di *123#. Info 817 XAS10G",0
Isi ulang Rp10000 berhasil. Kode transaksi 19031665987321. Bonus 500MB dgn registrasi nomor XLmu! Cek *123*4444#,0
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan total HADIAH 800jt dari XL! Cek *123*444*1# skrg. Info: xl.co.id/xtravaganza XPF02A,1
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan total HADIAH 800jt dari XL! Cek *123*444*1# skrg. Info: xl.co.id/xtravaganza XPF02A,1
3 HARI lagi kartu XL Anda akan masuk MASA TENGGANG. Segera ISI ULANG PULSA di outlet/ATM terdekat. Abaikan pesan ini jika sudah isi pulsa. Info 817 XJ005A,1
"Segera aktifkan BONUS Nelp ke sesama XL 60Mnt ut 7hr,dgn isi ulang pulsa min Rp5rb HARI INI! Cek *123# utk promo terbaik Anda. Info 817. XAS18G",1
SELAMAT! Anda pelanggan terpilih yang berkesempatan menangkan total HADIAH 800jt dari XL! Cek *123*444*1# skrg. Info: xl.co.id/xtravaganza XPF02A,1
"Anda mendptkan BONUS Nelp ke sesama XL 60Mnt utk 7hr,aktifkan segera dgn isi ulang pulsa min Rp5rb HARI INI.Cek *123# utk promo terbaik Anda.Info 817. XAS18G",1
"BICARA SEPUASNYA!Ayo beli Paket Nelpon ke semua Operator di SHOPEE ELEKTRONIK&DIGITAL SALE,diskon hingga 25%.Cek https://shopee.co.id/m/xl-digital-day MC213A",1
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",1
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,1
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",1
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",1
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,1
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,1
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",1
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,1
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",1
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,1
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,1
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,1
"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",1
"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",1
Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,1
Anda mendapatkan 1 kupon dalam program Kartu As BIBER (Beli Internet Berhadiah). Cek total kupon maksimal 1x24 jam dari skrg di *100*123#. Info lengkap hub:188,1
Anda sedang menikmati Paket Reguler dgn sisa kuota 209715 KB.Dapatkan beragam Paket INTERNET HEMAT Tri di *123*3#,1
Anda tidak terdaftar dalam layanan Paket Malam hari. Untuk berlangganan lakukan isi ulang dengan voucher Kenyang Download,1
"Anda tlh menukarkan poin 95 poin, Tukarkan terus poinnya siapa tahu anda pemenang hadih LG G3 32gb, pemenang adalah yang menukarkan poin tertinggi s/d 30 November 15",1
AngpaoPoinSenyum! Dptkan Vchr Lottemart 50rb dg tukar 2500poin (normal 5000poin) sd 11Feb16. Ketik *123*7887*2*5# TERBATAS! Info: www.indosatooredoo.com/angpao,1
Awal bulan saat nya anda eksis lebih lama! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/FL,1
"Ayam (sayap/paha bawah), Nasi, Perkedel Rp. 19.545. GRATIS Teh Pucuk. Tukar SMS ini di CFC HASAN SADIKIN hari ini. Selama Persediaan msh ada. Promo *606#",1
"Ayo anak Medan, beli sticker line dengan pulsamu Caranya klik http://www.telkomsel.com/linestore nama stickernya : Kedan Medan",1
AYO download AXISnet dari Apple/Play Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 1GB 30hr dapat OBOR 5GB (00-06) Rp18800. Info838. LD335,1
AYO download AXISnet dari PLAY/Apple Store dan aktifkan BRONET24Jam 5GB 60hr Rp44900 dan BRONET24Jam 3GB 60hr dapat OBOR 10GB (00-06) Rp39800. Info838. LD307,1
Ayo dukung pelestarian alam Indonesia bersama Indosat Ooredoo dan WWF-Indonesia dg berdonasi melalui *123*50# dari nomor Indosat Ooredoo.,1
"Ayo kawal pemanfaatan subsidi BBM & Kompensasi bagi yang berhak! Pengaduan, ketik BBM (spasi) isi pesan. Kirim 1708",1
"BANTING HARGA !! Internetan dgn Kuota 1,5GB HANYA 10rb Rupiah, paket Berlaku sebulan. Mau?? Ketik YA ke 919 s/d 16 Desember 2015",1
BEBAS ekspresikan dirimu bersama Paket Freedom Combo dari Indosat Ooredoo. Segera hub *123# atau www.indosatooredoo.com/freedom,1
Bebas Pulsa! Ambil bonusmu di *600# (GRATIS). Dptkan gratis nelpon atau internetas atau promo lainnya sesuai hobimu!,1
"Beli 1 Gratis 1 untuk Lychee Tea atau Latte Flavour dari Yellow Truck Jl.Patuha No.29. Tukarkan SMS ini. Hanya berlaku untuk hari ini, S&K Berlaku.Promo *606#",1
Beli 2 Gratis 1 atau beli 1 Diskon 25% tiket Kampung Gajah Wonderland Bandung s.d 31 Mei 2013. Tunjukkan SMS kpd Petugas .Info: www.indosat.com/kampunggajah,1
Beli 6 Gratis 6 Donut dari DUNKIN DONUTS BORMA SETIABUDHI. Tukarkan SMS ini segera. Hanya berlaku untuk hari ini. Selama persediaan masih ada. Promo *606#,1
Beli paket Turbo mulai 50rb utk pembelian pertama di MyTelkomsel App sjk 25Aug - 25Sept dpt EXTRA PULSA TSEL Rp 50rb loh! Cek detail paket di tsel.me/mytsel1,1
"Bisa Internetan 1,5GB CUMA dengan 20rb, paket berlaku 90 hari. MAU?? Ketik YA ke 919. Penawaran berlaku s/d 8 Januari 2016",1
"BONUS KUOTA 500MB (1hr)! Cukup isi ulang min. 5,000 hari ini! Ayo buruan isi pulsa sekarang juga. T514",1
BONUS PULSA 10RB! Ayo isi pulsa min. 5rb & dapetkan bonus pulsa 10rb utk nelp ke nmr Tri! Hanya hari ini saja! Ayo buruan isi pulsa! T530,1
